,FULL NAME,TEAM,POS,AGE,PPG,APG,MPG,RPG,SPG,BPG,season,Salary
182,Ricky Rubio,Uta,G,28.47,12.7,6.1,27.9,3.6,1.35,0.15,2018-2019,14975000.0
183,Tyus Jones,Min,G,22.92,6.9,4.8,22.9,2.0,1.19,0.07,2018-2019,2444053.0
184,Zaza Pachulia,Det,C,35.16,3.9,1.3,12.9,3.9,0.46,0.25,2018-2019,1512601.0
185,Danilo Gallinari,Lac,F,30.67,19.8,2.6,30.3,6.1,0.72,0.34,2018-2019,21587579.0
186,Spencer Dinwiddie,Bro,G,26.01,16.8,4.6,28.1,2.4,0.59,0.25,2018-2019,1656092.0
187,Andre Iguodala,Gol,G-F,35.2,5.7,3.2,23.2,3.7,0.9,0.75,2018-2019,16000000.0
188,Al Horford,Bos,F-C,32.86,13.6,4.1,29.0,6.7,0.85,1.26,2018-2019,28928709.0
189,Wes Iwundu,Orl,F,24.31,5.0,1.1,18.1,2.7,0.41,0.32,2018-2019,1378242.0
190,Noah Vonleh,Nyk,F,23.63,8.4,1.9,25.3,7.8,0.66,0.75,2018-2019,1512601.0
191,Lance Stephenson,Lal,G,28.6,7.2,2.1,16.5,3.2,0.6,0.1,2018-2019,4449000.0
192,Eric Gordon,Hou,G,30.29,16.2,1.9,31.7,2.2,0.6,0.4,2018-2019,13500375.0
193,Devin Harris,Dal,G,36.12,6.3,1.8,15.7,1.6,0.51,0.24,2018-2019,1512601.0
194,Jordan Bell,Gol,F,24.26,3.3,1.1,11.6,2.7,0.26,0.76,2018-2019,1378242.0
195,Derrick White,San,G,24.78,9.9,3.9,25.8,3.7,1.0,0.7,2018-2019,1667160.0
196,Jrue Holiday,Nor,G,28.83,21.2,7.7,35.8,5.0,1.64,0.81,2018-2019,25976111.0
197,DeMarre Carroll,Bro,F,32.71,11.1,1.3,25.4,5.2,0.45,0.15,2018-2019,15400000.0
198,Clint Capela,Hou,C,24.9,16.6,1.4,33.6,12.6,0.66,1.52,2018-2019,13793104.0
199,Kent Bazemore,Atl,G,29.78,11.6,2.3,24.5,3.9,1.33,0.63,2018-2019,18089887.0
200,Ersan Ilyasova,Mil,F,31.91,6.8,0.8,18.4,4.5,0.48,0.3,2018-2019,7000000.0
201,Josh Hart,Lal,G,24.1,7.8,1.4,25.6,3.7,0.96,0.6,2018-2019,1655160.0
202,Kyrie Irving,Bos,G,27.05,23.8,6.9,33.0,5.0,1.55,0.51,2018-2019,20099189.0
203,Larry Nance Jr.,Cle,F,26.27,9.4,3.2,26.8,8.2,1.49,0.6,2018-2019,2272391.0
204,OG Anunoby,Tor,F,21.74,7.0,0.7,20.2,2.9,0.69,0.33,2018-2019,2034120.0
205,Mitchell Robinson,Nyk,C,21.03,7.3,0.6,20.6,6.4,0.79,2.44,2018-2019,1485440.0
206,Draymond Green,Gol,F,29.1,7.4,6.9,31.3,7.3,1.44,1.08,2018-2019,17469565.0
207,Rodney McGruder,Mia,G-F,27.7,7.6,1.7,23.5,3.6,0.53,0.2,2018-2019,1544951.0
208,Justise Winslow,Mia,F,23.04,12.6,4.3,29.7,5.4,1.09,0.29,2018-2019,3448926.0
209,Daniel Theis,Bos,F,27.02,5.7,1.0,13.8,3.4,0.32,0.62,2018-2019,1378242.0
210,Anthony Tolliver,Min,F,33.86,5.0,0.7,16.6,2.7,0.26,0.32,2018-2019,4750000.0
